size_of_population,tournament_size,mutation_probability,tournament_selection_probability,hypervolume,spread,convergence,fitness,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
166,9,0.146005734,0.991440858,0.618935849,0.122543967,0.20851651,0.287875372,150.0713253,166,62145,41.79206349,92865,78.6047619,72564.87952,54.70096577
152,8,0.129412386,0.955883684,0.567286534,0.119339324,0.198587806,0.249359404,116.8634403,152,61540,41.71904762,94305,75.40238095,72146.77632,52.98068609
125,7,0.097695595,0.887919132,0.266817904,0.281733833,0.421766876,-0.436682805,79.9155798,125,61555,45.09285714,81030,74.2,68606.52,56.51680635
114,6,0.085341914,0.861446958,0.261693128,0.197575568,0.506317573,-0.442200013,84.33459592,114,63315,46.94444444,85305,70.26190476,71114.82456,55.49310777
90,4,0.057242006,0.801232871,0.318051844,0.586650911,0.502750467,-0.771349534,68.44025254,90,62680,48.78809524,81975,75.62936508,70202,58.62481481
91,4,0.058277017,0.80345075,0.105898958,0.377734641,0.761627269,-1.033462951,77.28321171,91,65810,50.51904762,82135,66.03968254,71577.58242,56.35566021
144,8,0.120468681,0.936718601,0.58544003,0.288382285,0.207793357,0.089264388,101.0379748,144,60460,43.6531746,87090,82.41111111,71222.01389,55.7548556
73,3,0.03771745,0.759394535,0.415752805,0.6136223,0.617345693,-0.815215188,70.21626019,73,66340,49.41984127,89240,73.47460317,74794.10959,57.37488584
167,9,0.14657323,0.992656921,0.834082984,0.143406169,0.241655026,0.449021789,98.65168285,167,60200,46.95714286,90195,89.6515873,71168.8024,62.8255489
139,7,0.11394732,0.922744258,0.402556763,0.18570218,0.337045764,-0.120191181,140.4427783,139,60667.5,47.45079365,81850,79.51904762,68517.53597,58.16067717
77,3,0.04256539,0.769782979,0.565064854,0.649935353,0.423234299,-0.508104798,75.11315441,77,62685,49.27777778,84700,83.85714286,71430.25974,60.902886
133,7,0.107308346,0.908517885,0.706118169,0.172159147,0.264136706,0.269822316,106.6169398,133,62105,46.35396825,88370,86.20952381,69623.1203,61.41114691
121,6,0.093978718,0.879954396,0.41814752,0.316172869,0.323089198,-0.221114547,91.86475897,121,60725,45.23650794,88195,74.44444444,70147.06612,56.78012593
112,6,0.083412944,0.857313452,0.590373449,0.297032243,0.193768565,0.09957264,84.9263401,112,59670,44.72222222,90980,79.08571429,70890.22321,56.83328373
101,5,0.069546739,0.827600155,0.286439699,0.404990722,0.681150817,-0.79970184,98.33495975,101,66815,48.9468254,87425,69.59285714,73287.07921,56.71104825
92,4,0.059301263,0.805645564,0.152679703,0.408796912,0.718406586,-0.974523795,65.30854225,92,67205,44.75238095,90995,61.48888889,76055.48913,51.58248792
114,6,0.085389595,0.861549132,0.168304925,0.354989195,0.640126299,-0.826810568,74.66643023,114,64665,47.31904762,83665,67.55873016,71955,55.58939014
135,7,0.109849236,0.913962649,0.419138488,0.19768855,0.316390874,-0.094940937,127.4253116,135,60735,44.84285714,84935,77.34444444,69438.96296,57.71433275
62,2,0.024505977,0.731084237,0,0.82830546,1,-1.82830546,59.23781991,62,74525,51.28095238,84995,58.42380952,78946.53226,54.13732719
161,9,0.139690859,0.977908983,0.349624986,0.024635903,0.324631232,0.000357851,107.7973073,161,61535,47.52539683,88665,70.7015873,70109.2236,55.79638174
99,5,0.068277579,0.824880526,0.309065373,0.367651376,0.500276685,-0.558862688,44.48123002,99,64385,50.26587302,83590,73.18571429,71241.91919,59.68625942
126,7,0.099723788,0.89226526,0.485670952,0.274225711,0.24642454,-0.034979299,85.04002309,126,61900,42.73650794,91020,74.44285714,72728.29365,54.69182414
65,3,0.027998924,0.738569123,0.148379618,0.969475104,0.696416951,-1.517512437,61.05588675,65,66495,54.2,77405,71.2968254,71401.84615,59.93836386
51,2,0.012192183,0.704697535,0.342253641,1,0.688843325,-1.346589684,46.46025848,51,69730,50.31507937,85125,73.31904762,76277.05882,58.90905696
129,7,0.102496238,0.898206224,0.272048344,0.279351959,0.309908681,-0.317212295,77.22128916,129,60220,45.98253968,78300,76.36825397,66695.31008,57.40402362
53,2,0.013736391,0.708006551,0.239485793,1,0.948138539,-1.708652746,52.10769463,53,74225,52.89365079,87495,66.95555556,80097.07547,58.66483977
144,8,0.120560784,0.936915965,0.647512465,0.455176711,0.190505578,0.001830176,123.3094089,144,60840,45.74126984,96475,76.48571429,70314.0625,56.66558642
50,2,0.010933334,0.702,0.377255853,0.717033481,0.886246724,-1.226024352,47.56525016,50,73340,53.93650794,85180,74.8031746,78056,62.5695873
168,9,0.148340594,0.99644413,0.916958312,0.116310432,0,0.80064788,121.2928932,168,58460,43.28095238,90160,92.98095238,68646.19048,59.92762661
142,8,0.117955205,0.931332583,0.626263002,0.154225086,0.183737833,0.288300084,116.4754016,142,60240,44.65079365,88050,82.9047619,69185.91549,59.29099039
51,2,0.011588529,0.70340399,0.165863689,0.659017252,1,-1.493153563,47.23542738,51,81945,54.17857143,90795,61.5,85495.19608,56.82077498
144,8,0.12043504,0.936646515,0.584934186,0.15819086,0.21339646,0.213346867,129.1844165,144,62885,42.47460317,101550,70.36666667,74810.72917,52.04337522
